policy,seed,total_reward,final_revenue,units_sold,initial_inventory,sell_through_pct,spoilage_pct,mean_price,mean_discount_depth_pct,steps
q_learning,5000355,1619410.3252146181,1610604.4481123833,100,100,100.0,0.0,17298.91871111871,13.100591534949288,26
q_learning,5000356,1741817.0872562123,1919465.0658174509,88,100,88.0,12.0,23703.498952717848,0.5695043811682634,30
q_learning,5000357,1284038.9060139342,1346268.5087599969,100,100,100.0,0.0,14416.037399540404,24.904741104915882,25
q_learning,5000358,1188815.550361157,1278486.9375134546,100,100,100.0,0.0,14272.780905498937,28.436826619672225,25
q_learning,5000359,886587.0127572593,1059938.4677223824,100,100,100.0,0.0,11108.615302358592,42.248832774342304,21
q_learning,5000360,394450.9025855929,747423.8625474268,100,100,100.0,0.0,8406.158878831431,56.39249031862224,22
q_learning,5000361,1555934.6873367636,1597664.84223367,100,100,100.0,0.0,19449.231328352314,14.95842159881633,30
q_learning,5000362,481167.1327319413,1115039.2153311921,69,100,69.0,31.0,28167.25458000327,8.969688924159993,30
q_learning,5000363,1437927.9342750367,1464270.5161513742,100,100,100.0,0.0,15969.61375563004,18.258361020022406,27
q_learning,5000364,1825191.6992800955,1791964.784460811,100,100,100.0,0.0,18414.990557952962,7.55767853954388,28
q_learning,5000365,984615.7700422399,1130070.172632725,100,100,100.0,0.0,11172.430184983254,41.892693137828545,22
q_learning,5000366,1241156.0355121966,1309848.6188040983,100,100,100.0,0.0,14098.779384539781,26.777540749323165,23
q_learning,5000367,1836881.9499374502,1846878.5950184646,97,100,97.0,3.0,21186.91283415346,4.087159835574895,30
q_learning,5000368,974174.1227523369,1128010.3175911542,100,100,100.0,0.0,12920.8185650987,33.29393970035697,25
q_learning,5000369,1943929.3632231902,1918826.4062551318,100,100,100.0,0.0,20445.117218662304,6.693896829489113,28
q_learning,5000370,1136720.1320747454,1246273.2992985353,100,100,100.0,0.0,13235.781884362792,31.0773471928682,22
q_learning,5000371,1077080.4512493145,1254747.2278992664,100,100,100.0,0.0,19227.495851653173,21.918117142126885,28
q_learning,5000372,1651095.548707846,1648208.875509929,100,100,100.0,0.0,17330.69607026227,11.662949379785864,23
q_learning,5000373,1534323.9481856425,1557462.8099719523,100,100,100.0,0.0,16856.334040419304,16.216964648627087,27
q_learning,5000374,1762539.0234587016,1740516.4304753034,100,100,100.0,0.0,17924.74490735234,10.318305367547518,25
q_learning,5000375,1740503.5526916683,1741508.4176266294,100,100,100.0,0.0,21252.998408295978,9.697335447663399,28
q_learning,5000376,1693148.0484399765,1721802.7371952636,100,100,100.0,0.0,18700.419848215137,13.682442731783617,29
q_learning,5000377,1271824.6597011078,1346175.0198899545,100,100,100.0,0.0,15550.139291438354,23.47932433987655,24
q_learning,5000378,1055494.9997430868,1253512.198002556,100,100,100.0,0.0,15405.364386705041,28.89661424219056,26
q_learning,5000379,649582.6396949984,927098.4369058716,100,100,100.0,0.0,9542.493855829982,50.537242022533334,18
q_learning,5000380,564531.229156096,850478.3527828096,100,100,100.0,0.0,9405.51007250997,51.15425154265756,22
q_learning,5000381,852095.4586056302,1084145.5050632134,100,100,100.0,0.0,21136.96603494617,24.600457121532767,30
q_learning,5000382,538181.3067247617,841342.4424963649,100,100,100.0,0.0,9166.604508678072,52.4519629485372,20
q_learning,5000383,1856016.146836232,1839904.220111474,100,100,100.0,0.0,19142.577995149484,9.528255274817038,27
q_learning,5000384,1492627.743217581,1503433.3236809077,100,100,100.0,0.0,15357.083953816395,19.920367506291395,24
q_learning,5000385,1301826.6473714153,1351439.921548817,100,100,100.0,0.0,14274.384935557864,25.887909781310942,22
q_learning,5000386,1682250.0065069445,1879947.5012749506,87,100,87.0,13.0,22759.3973184172,2.475412666666662,30
q_learning,5000387,1113788.854335129,1216128.5625713991,100,100,100.0,0.0,12914.365307713728,32.7837420659078,21
q_learning,5000388,1383422.660368744,1458247.553805864,100,100,100.0,0.0,16577.842848374723,20.23114091994478,30
q_learning,5000389,1612542.381247409,1649553.8026558978,100,100,100.0,0.0,18614.8206316513,13.017471513640691,27
q_learning,5000390,1351896.6716157368,1450293.1207650239,100,100,100.0,0.0,16249.723233252722,21.09125216821293,27
q_learning,5000391,973476.8538332834,1155445.2367522006,100,100,100.0,0.0,18983.38483192728,24.635175941189452,29
